RNCMPT00001 RNCMPT00291 0.9401
RNCMPT00791 RNCMPT00137 0.2482
RNCMPT00500 RNCMPT00169 0.8392
RNCMPT00501 RNCMPT00043 0.5806
RNCMPT00352 RNCMPT00801 0.4643
RNCMPT00416 RNCMPT01687 0.4398
RNCMPT00741 RNCMPT00229 0.6763
RNCMPT00623 RNCMPT00139 0.8863
RNCMPT00099 RNCMPT00040 0.9814
RNCMPT00433 RNCMPT00503 0.9802
RNCMPT00346 RNCMPT00681 0.7348
RNCMPT00142 RNCMPT00637 0.701
RNCMPT00238 RNCMPT00476 0.9786
RNCMPT00351 RNCMPT00430 0.1619
RNCMPT00347 RNCMPT00478 0.22
RNCMPT00399 RNCMPT00166 0.4098
RNCMPT00838 RNCMPT00205 0.6521
RNCMPT00461 RNCMPT00229 0.8568
RNCMPT00268 RNCMPT00788 0.8277
RNCMPT00252 RNCMPT00716 0.7163
RNCMPT00234 RNCMPT00830 0.674
RNCMPT00813 RNCMPT00513 0.6409
RNCMPT00507 RNCMPT00145 0.8439
RNCMPT01687 RNCMPT00184 0.2768
RNCMPT00394 RNCMPT00279 0.8907
RNCMPT00005 RNCMPT00256 0.9667
RNCMPT00047 RNCMPT00118 0.2178
RNCMPT00462 RNCMPT00430 0.8883
RNCMPT00714 RNCMPT00713 0.5764
RNCMPT00739 RNCMPT00425 -0.1047
RNCMPT00677 RNCMPT00340 0.8839
RNCMPT00245 RNCMPT00707 0.4816
RNCMPT00345 RNCMPT00741 0.9028
RNCMPT00041 RNCMPT00099 0.7373
RNCMPT00821 RNCMPT00513 0.044
RNCMPT00146 RNCMPT00776 0.836
RNCMPT00831 RNCMPT00281 0.3491
RNCMPT00758 RNCMPT00237 0.246
RNCMPT01679 RNCMPT00026 0.7374
RNCMPT00818 RNCMPT00168 0.9768
RNCMPT00180 RNCMPT00017 0.9137
RNCMPT00687 RNCMPT00212 0.5162
RNCMPT00773 RNCMPT00268 -0.4328
RNCMPT00460 RNCMPT00822 -0.2612
RNCMPT00467 RNCMPT00718 0.5011
RNCMPT00757 RNCMPT00133 0.6752
RNCMPT00329 RNCMPT00503 0.4278
RNCMPT00368 RNCMPT00050 0.7538
RNCMPT00413 RNCMPT00261 0.5706
RNCMPT00065 RNCMPT00718 0.6497
RNCMPT00151 RNCMPT00282 0.563
RNCMPT00727 RNCMPT00129 0.4097
RNCMPT00508 RNCMPT00043 0.8286
RNCMPT00284 RNCMPT00283 0.8621
