RNCMPT00001 RNCMPT00291 95.44
RNCMPT00791 RNCMPT00137 29.59
RNCMPT00500 RNCMPT00169 46.31
RNCMPT00501 RNCMPT00043 59.19
RNCMPT00352 RNCMPT00801 55.97
RNCMPT00416 RNCMPT01687 70.0
RNCMPT00741 RNCMPT00229 60.09
RNCMPT00623 RNCMPT00139 33.56
RNCMPT00099 RNCMPT00040 53.19
RNCMPT00433 RNCMPT00503 90.5
RNCMPT00346 RNCMPT00681 38.22
RNCMPT00142 RNCMPT00637 57.62
RNCMPT00238 RNCMPT00476 38.12
RNCMPT00351 RNCMPT00430 24.45
RNCMPT00347 RNCMPT00478 27.81
RNCMPT00399 RNCMPT00166 40.56
RNCMPT00838 RNCMPT00205 21.12
RNCMPT00461 RNCMPT00229 62.88
RNCMPT00268 RNCMPT00788 50.59
RNCMPT00252 RNCMPT00716 65.0
RNCMPT00234 RNCMPT00830 37.44
RNCMPT00813 RNCMPT00513 45.91
RNCMPT00507 RNCMPT00145 49.25
RNCMPT01687 RNCMPT00184 90.31
RNCMPT00394 RNCMPT00279 100.0
RNCMPT00005 RNCMPT00256 33.75
RNCMPT00047 RNCMPT00118 79.12
RNCMPT00462 RNCMPT00430 56.53
RNCMPT00714 RNCMPT00713 59.38
RNCMPT00739 RNCMPT00425 47.81
RNCMPT00677 RNCMPT00340 82.0
RNCMPT00245 RNCMPT00707 64.0
RNCMPT00345 RNCMPT00741 44.03
RNCMPT00041 RNCMPT00099 50.97
RNCMPT00821 RNCMPT00513 29.66
RNCMPT00146 RNCMPT00776 75.94
RNCMPT00831 RNCMPT00281 32.66
RNCMPT00758 RNCMPT00237 24.64
RNCMPT01679 RNCMPT00026 75.0
RNCMPT00818 RNCMPT00168 90.19
RNCMPT00180 RNCMPT00017 62.84
RNCMPT00687 RNCMPT00212 52.38
RNCMPT00773 RNCMPT00268 23.38
RNCMPT00460 RNCMPT00822 22.88
RNCMPT00467 RNCMPT00718 40.94
RNCMPT00757 RNCMPT00133 55.75
RNCMPT00329 RNCMPT00503 22.31
RNCMPT00368 RNCMPT00050 34.53
RNCMPT00413 RNCMPT00261 30.44
RNCMPT00065 RNCMPT00718 32.53
RNCMPT00151 RNCMPT00282 91.19
RNCMPT00727 RNCMPT00129 34.62
RNCMPT00508 RNCMPT00043 61.28
RNCMPT00284 RNCMPT00283 54.0
RNCMPT00787 RNCMPT00033 31.41
RNCMPT00014 RNCMPT00132 55.81
RNCMPT00421 RNCMPT00032 46.72
RNCMPT00160 RNCMPT00150 31.56
RNCMPT00291 RNCMPT00001 95.44
RNCMPT00471 RNCMPT00139 66.88
RNCMPT00168 RNCMPT00818 90.19
RNCMPT00691 RNCMPT00132 24.06
RNCMPT00476 RNCMPT00238 38.12
RNCMPT00164 RNCMPT00037 22.06
RNCMPT00225 RNCMPT00425 38.31
RNCMPT00029 RNCMPT00096 75.31
RNCMPT00692 RNCMPT00467 26.59
RNCMPT00159 RNCMPT00025 70.12
RNCMPT00288 RNCMPT00289 91.81
RNCMPT00789 RNCMPT00758 24.55
RNCMPT00432 RNCMPT00072 25.22
RNCMPT00423 RNCMPT00469 38.94
RNCMPT00140 RNCMPT00414 19.55
RNCMPT01677 RNCMPT00285 93.12
RNCMPT00008 RNCMPT00156 76.44
RNCMPT00006 RNCMPT00018 30.41
RNCMPT00182 RNCMPT00152 53.72
RNCMPT00161 RNCMPT00020 79.0
RNCMPT00615 RNCMPT00343 16.73
RNCMPT00199 RNCMPT00862 26.3
RNCMPT00024 RNCMPT00022 73.06
RNCMPT00181 RNCMPT00133 33.47
RNCMPT00232 RNCMPT00224 84.19
RNCMPT00071 RNCMPT00425 73.38
RNCMPT00503 RNCMPT00433 90.5
RNCMPT01685 RNCMPT00228 33.75
RNCMPT00021 RNCMPT00138 39.22
RNCMPT00763 RNCMPT00217 44.75
RNCMPT00684 RNCMPT00677 66.88
RNCMPT00056 RNCMPT00018 31.44
RNCMPT00776 RNCMPT00146 75.94
RNCMPT00256 RNCMPT00165 46.88
RNCMPT00132 RNCMPT00120 69.94
RNCMPT00075 RNCMPT00382 26.05
RNCMPT00788 RNCMPT00268 50.59
RNCMPT00081 RNCMPT00166 67.31
RNCMPT00688 RNCMPT00139 41.97
RNCMPT00466 RNCMPT00685 46.72
RNCMPT00133 RNCMPT00757 55.75
RNCMPT00248 RNCMPT00350 49.09
RNCMPT00725 RNCMPT00482 54.38
RNCMPT00259 RNCMPT00119 28.56
RNCMPT00217 RNCMPT00763 44.75
RNCMPT00054 RNCMPT00280 71.38
RNCMPT00683 RNCMPT01664 82.94
RNCMPT00119 RNCMPT00814 39.44
RNCMPT00372 RNCMPT00050 32.44
RNCMPT00392 RNCMPT00790 38.44
RNCMPT00169 RNCMPT00062 100.0
RNCMPT00138 RNCMPT00021 39.22
RNCMPT00003 RNCMPT00183 56.91
RNCMPT00403 RNCMPT00392 28.56
RNCMPT00306 RNCMPT00268 40.19
RNCMPT00774 RNCMPT00064 57.03
RNCMPT00422 RNCMPT00707 33.66
RNCMPT00185 RNCMPT00034 77.44
RNCMPT00058 RNCMPT00127 88.19
RNCMPT00828 RNCMPT00819 60.38
RNCMPT00061 RNCMPT00058 48.09
RNCMPT00016 RNCMPT00474 74.69
RNCMPT00790 RNCMPT00392 38.44
RNCMPT00794 RNCMPT00158 39.56
RNCMPT00149 RNCMPT00078 21.14
RNCMPT00478 RNCMPT00360 49.19
RNCMPT00511 RNCMPT00043 42.12
RNCMPT00215 RNCMPT00246 82.94
RNCMPT00224 RNCMPT00232 84.19
RNCMPT00272 RNCMPT00029 56.88
RNCMPT00235 RNCMPT00268 25.52
RNCMPT00197 RNCMPT00240 30.59
RNCMPT00698 RNCMPT00241 39.41
RNCMPT00167 RNCMPT00025 91.38
RNCMPT00344 RNCMPT00131 53.12
RNCMPT00510 RNCMPT00071 51.75
RNCMPT01672 RNCMPT00165 85.62
RNCMPT00685 RNCMPT00466 46.72
RNCMPT00325 RNCMPT00741 37.88
RNCMPT00743 RNCMPT00007 25.55
RNCMPT00241 RNCMPT00805 67.44
RNCMPT00323 RNCMPT00301 85.25
RNCMPT00037 RNCMPT00164 22.06
RNCMPT00127 RNCMPT00058 88.19
RNCMPT00093 RNCMPT00013 47.38
RNCMPT00278 RNCMPT00156 79.0
RNCMPT00031 RNCMPT00099 41.41
RNCMPT00166 RNCMPT00187 80.38
RNCMPT00200 RNCMPT00003 34.81
RNCMPT00139 RNCMPT00043 71.31
RNCMPT00171 RNCMPT00043 61.53
RNCMPT00010 RNCMPT00119 35.66
RNCMPT00808 RNCMPT00150 49.25
RNCMPT00262 RNCMPT00079 41.38
RNCMPT00017 RNCMPT00180 62.84
RNCMPT00370 RNCMPT00157 50.44
RNCMPT00186 RNCMPT00239 100.0
RNCMPT00800 RNCMPT00066 46.62
RNCMPT00025 RNCMPT00167 91.38
RNCMPT00120 RNCMPT00132 69.94
RNCMPT01674 RNCMPT00165 84.19
RNCMPT00034 RNCMPT00185 77.44
RNCMPT00064 RNCMPT00774 57.03
RNCMPT00749 RNCMPT00689 47.38
RNCMPT00015 RNCMPT00161 60.09
RNCMPT00165 RNCMPT01672 85.62
RNCMPT00011 RNCMPT00161 24.14
RNCMPT00723 RNCMPT00071 36.44
RNCMPT00630 RNCMPT00681 22.84
RNCMPT00761 RNCMPT00219 53.19
RNCMPT00053 RNCMPT01669 26.27
RNCMPT00707 RNCMPT00245 64.0
RNCMPT00026 RNCMPT01679 75.0
RNCMPT00220 RNCMPT00306 27.16
RNCMPT00279 RNCMPT00394 100.0
RNCMPT00069 RNCMPT00027 36.5
RNCMPT00801 RNCMPT00352 55.97
RNCMPT00482 RNCMPT00725 54.38
RNCMPT00202 RNCMPT00005 20.52
RNCMPT00762 RNCMPT00735 44.41
RNCMPT00040 RNCMPT00099 53.19
RNCMPT00152 RNCMPT00173 83.94
RNCMPT00468 RNCMPT00027 39.78
RNCMPT00129 RNCMPT00727 34.62
RNCMPT00141 RNCMPT00820 61.81
RNCMPT00694 RNCMPT00360 23.19
RNCMPT00474 RNCMPT00161 75.94
RNCMPT00735 RNCMPT00216 90.5
RNCMPT00147 RNCMPT00282 67.5
RNCMPT00289 RNCMPT00288 91.81
RNCMPT00012 RNCMPT00158 95.38
RNCMPT00676 RNCMPT00311 44.09
RNCMPT00170 RNCMPT00462 22.5
RNCMPT00732 RNCMPT00717 44.25
RNCMPT00145 RNCMPT00071 72.88
RNCMPT00819 RNCMPT00828 60.38
RNCMPT00023 RNCMPT00022 96.94
RNCMPT00261 RNCMPT00413 30.44
RNCMPT00022 RNCMPT00023 96.94
RNCMPT00060 RNCMPT00380 29.31
RNCMPT00431 RNCMPT00685 23.3
RNCMPT00505 RNCMPT00186 28.08
RNCMPT00156 RNCMPT00278 79.0
RNCMPT00718 RNCMPT00118 53.91
RNCMPT00425 RNCMPT00071 73.38
RNCMPT00265 RNCMPT00215 32.47
RNCMPT00324 RNCMPT00469 42.12
RNCMPT00713 RNCMPT00714 59.38
RNCMPT00177 RNCMPT00392 24.08
RNCMPT00830 RNCMPT01660 59.62
RNCMPT00043 RNCMPT00155 88.62
RNCMPT00020 RNCMPT00161 79.0
RNCMPT00862 RNCMPT00263 38.44
RNCMPT00076 RNCMPT01664 81.56
RNCMPT01667 RNCMPT00677 79.5
RNCMPT00509 RNCMPT00758 22.95
RNCMPT00148 RNCMPT00165 50.0
RNCMPT00253 RNCMPT00471 43.47
RNCMPT00251 RNCMPT00005 20.62
RNCMPT00178 RNCMPT00027 59.72
RNCMPT00137 RNCMPT00791 29.59
RNCMPT00004 RNCMPT00166 75.75
RNCMPT00018 RNCMPT00056 31.44
RNCMPT00792 RNCMPT00790 36.31
RNCMPT00341 RNCMPT00434 39.44
RNCMPT00033 RNCMPT00172 68.0
RNCMPT00342 RNCMPT00368 30.98
RNCMPT00717 RNCMPT00732 44.25
RNCMPT00419 RNCMPT01680 89.38
RNCMPT00230 RNCMPT00720 67.5
RNCMPT00007 RNCMPT00727 26.55
RNCMPT00118 RNCMPT00047 79.12
RNCMPT00751 RNCMPT00732 43.12
RNCMPT00078 RNCMPT00050 30.72
RNCMPT00258 RNCMPT00205 23.62
RNCMPT00203 RNCMPT00425 42.28
RNCMPT00163 RNCMPT00067 65.44
RNCMPT00350 RNCMPT00248 49.09
