Eutypa_lata	8	0	8	101	7.9	Causes dead arm of grapevine	Fungi
Exophiala_aquamarina	5	0	5	110	4.5	Anamorphic fungus hosted by fish	Fungi
Scedosporium_apiospermum	5	0	5	93	5.4	Fungus found in stagnant water that infects immunocompromised humans	Fungi
Scheffersomyces_stipitis	0	0	0	83	0.0	Yeast researched for its potential in renewable fuels	Fungi
Schizosaccharomyces_octosporus	7	0	7	107	6.5	Fission yeast	Fungi
Schizosaccharomyces_japonicus	3	0	3	122	2.5	Fission yeast	Fungi
Schizosaccharomyces_cryophilus	6	0	6	111	5.4	Fission yeast	Fungi
Schizophyllum_commune	7	4	3	140	5.0	Split Gill 	Fungi
Edhazardia_aedis	0	0	0	44	0.0	Polymorphic microsporidium of mosquitoes	Fungi
Encephalitozoon_cuniculi	0	0	0	41	0.0	Encephalitozoon cuniculi	Fungi
Encephalitozoon_hellem	0	0	0	38	0.0	Microsporidian	Fungi
Encephalitozoon_intestinalis	0	0	0	41	0.0	Protist (human parasite); smallest known genome	Fungi
Endocarpon_pusillum	5	0	5	113	4.4	Lichen-forming fungus	Fungi
Exophiala_dermatitidis	5	0	5	109	4.6	Thermophilic black yeast	Fungi
Exophiala_mesophila	5	0	5	108	4.6	Alkylbenzene-degrading black yeast	Fungi
Exophiala_oligosperma	5	0	5	110	4.5	Black yeast pathogenic to humans	Fungi
Fusarium_oxysporum	7	0	7	113	6.2	Soil microbe digesting lignin	Fungi
Fusarium_pseudograminearum	7	0	7	118	5.9	Causes crown rot of wheat	Fungi
Fusarium_solani	8	0	8	107	7.5	Filamentous fungus	Fungi
Fusarium_verticillioides	6	0	6	109	5.5	Gibberella fujikuroi, cause of bakanae disease in rice	Fungi
Rozella_allomycis	2	0	2	106	1.9	One of the earliest diverging lineages of fungi	Fungi
Gaeumannomyces_graminis	4	0	4	113	3.5	Causes black spots on rice	Fungi
Encephalitozoon_romaleae	0	0	0	41	0.0	Microsporidian	Fungi
Galerina_marginata	6	0	6	163	3.7	Poisonous "little brown mushroom"	Fungi
Rhodotorula_glutinis	1	0	1	42	2.4	Pigmented yeast - infects human bloodstream	Fungi
Fusarium_graminearum	7	0	7	123	5.7	Gibberella zeae, cause of wheat headblight	Fungi
Fusarium_fujikuroi	7	0	7	120	5.8	Causes bakanae in rice	Fungi
Exophiala_sideris	5	0	5	109	4.6	Black yeast isolated from environments polluted with toxic alkyl benze	Fungi
Exophiala_spinifera	5	0	5	114	4.4	Black yeast	Fungi
Exophiala_xenobiotica	5	0	5	113	4.4	Black yeast	Fungi
Saccharomyces_cerevisiae	9	8	1	92	9.8	Bakers yeast	Fungi
Saccharomyces_castellii	9	0	9	78	11.5	S. castellii	Fungi
Fibroporia_radiculosa	6	0	6	121	5.0	Copper-tolerant fungus that causes brown rot decay of wood	Fungi
Saccharomyces_bayanus	6	0	6	88	6.8	S. bayanus (yeast)	Fungi
Fomitopsis_pinicola	5	0	5	137	3.6	Red-belt conk mushroom	Fungi
Saccharomyces_arboricola	6	0	6	62	9.7	Yeast that grows in tree bark	Fungi
Rhodosporidium_toruloides	2	0	2	120	1.7	Yeast - linked to bovine mastitis	Fungi
Microsporum_gypseum	4	0	4	112	3.6	Mold, may cause ringworm	Fungi
Mycosphaerella_fijiensis	4	0	4	99	4.0	Black sigatoka	Fungi
Mycosphaerella_graminicola	4	0	4	101	4.0	Wheat pathogen	Fungi
Pestalotiopsis_fici	6	0	6	119	5.0	Pathogen of Ficus carica	Fungi
Naumovozyma_castellii	10	0	10	94	10.6	Yeast	Fungi
Naumovozyma_dairenensis	9	0	9	102	8.8	Yeast	Fungi
Penicillium_solitum	3	0	3	109	2.8	Mesophilic fungus present in marine sediments from Antarctica	Fungi
Nectria_haematococca	8	0	8	107	7.5	Fusarium solani 	Fungi
Nematocida_parisii_ertm1	0	0	0	34	0.0	Pathogen of nematodes	Fungi
Nematocida_sp	0	0	0	33	0.0	Nematocida	Fungi
Myceliophthora_thermophila	8	0	8	106	7.5	Thielavia heterothallica	Fungi
Phaeosphaeria_nodorum	3	0	3	105	2.9	Glume blotch fungus	Fungi
Millerozyma_farinosa	2	0	2	176	1.1	Ascomycete yeast	Fungi
Penicillium_oxalicum	5	0	5	110	4.5	Penicillium oxalicum	Fungi
Mixia_osmundae	1	0	1	116	0.9	Fungus	Fungi
Moniliophthora_perniciosa	0	0	0	87	0.0	Plant pathogen	Fungi
Moniliophthora_roreri	6	0	6	299	2.0	Fungus - causes frosty pod rot disease of cacao	Fungi
Phycomyces_blakesleeanus	4	0	4	204	2.0	Algal fungi	Fungi
Phlebiopsis_gigantea	7	0	7	140	5.0	Fungus that causes white rot of conifer logs and stumps	Fungi
Phanerochaete_chrysosporium	5	0	5	163	3.1	"White rot", crust fungus	Fungi
Phanerochaete_carnosa	6	0	6	131	4.6	Plant pathogen infecting plane trees	Fungi
Penicillium_rubens	3	0	3	114	2.6	Source of Penicillin	Fungi
Neofusicoccum_parvum	5	0	5	108	4.6	Sac fungus	Fungi
Penicillium_chrysogenum	3	0	3	114	2.6	Mold	Fungi
Ogataea_parapolymorpha	1	0	1	93	1.1	Yeast that can grow on methanol	Fungi
Oidiodendron_maius	5	0	5	112	4.5	Fungus that associates with shrub roots	Fungi
Paxillus_rubicundulus	6	0	6	148	4.1	Brown mushroom	Fungi
Paxillus_involutus	2	0	2	89	2.2	Brown roll-rim mushroom	Fungi
Ophiocordyceps_sinensis	5	0	5	95	5.3	Fungus that parasitizes larvae of ghost moths	Fungi
Ophiostoma_piceae_uamh	4	0	4	104	3.8	Wood-staining fungus	Fungi
Ordospora_colligata	0	0	0	42	0.0	Microsporidian - gut parasite of the microcrustacean Daphnia sp.	Fungi
Paracoccidioides_sp_lutzii	4	0	4	135	3.0	Dimorphic ascomycete fungus 	Fungi
Penicillium_digitatum	4	0	4	110	3.6	Common postharvest fungus disease of citrus called green mold	Fungi
Penicillium_expansum	3	0	3	101	3.0	Post harvest rot that infects apples	Fungi
Neosartorya_fischeri	5	0	5	109	4.6	Fungal pathogen (related to Aspergillus)	Fungi
Neurospora_crassa	10	6	4	116	8.6	Red bread mold	Fungi
Neurospora_discreta	9	0	9	110	8.2	Mold	Fungi
Neurospora_tetrasperma	9	0	9	113	8.0	Mold	Fungi
Penicillium_marneffei	4	0	4	125	3.2	Mold- cause of penicilliosis 	Fungi
Penicillium_italicum	3	0	3	109	2.8	Post harvest disease commonly associated with citrus fruits	Fungi
Nosema_apis	0	0	0	32	0.0	Microsporidian that affects honeybees	Fungi
Nosema_bombycis	0	0	0	50	0.0	Microsporidian that affects silkworms	Fungi
Nosema_ceranae	0	0	0	29	0.0	Microsporidian that affects bees	Fungi
Paracoccidioides_brasiliensis	4	0	4	117	3.4	Cause of paracoccidioidomycosis	Fungi
Microsporum_canis	4	0	4	105	3.8	Cause of Tinea capitis (scalp ringworm)	Fungi
Kuraishia_capsulata	1	0	1	97	1.0	Budding yeast	Fungi
Pseudocercospora_fijiensis	4	0	4	119	3.4	Cause of leaf-spot disease of banana plants	Fungi
Leptosphaeria_maculans	3	0	3	110	2.7	Fungal pathogen - cause of blackleg disease on Brassica	Fungi
Mucor_circinelloides	3	0	3	187	1.6	Cause of zygomycosis	Fungi
Lodderomyces_elongisporus	1	0	1	92	1.1	Yeast	Fungi
Postia_placenta	3	0	3	91	3.3	Brown rot fungus	Fungi
Podospora_anserina	7	0	7	117	6.0	Filamentous fungus	Fungi
Pneumocystis_murina	3	0	3	98	3.1	Fungus, first isolated from lab mice	Fungi
Pneumocystis_carinii	2	0	2	204	1.0	Form of pneumonia	Fungi
Macrophomina_phaseolina	3	0	3	119	2.5	Fungal pathogen - cause of charcoal rot on many plants	Fungi
Pseudogymnoascus_destructans	6	0	6	157	3.8	Cause of white-nose syndrome in bats	Fungi
Pseudogymnoascus_pannorum	6	0	6	109	5.5	Soil-dwelling fungu implicated in the human disease geomycosis	Fungi
Laccaria_amethystina	6	0	6	167	3.6	Amethyst deceiver (mushroom)	Fungi
Laccaria_bicolor	5	0	5	144	3.5	Deceiver (small tan colored mushroom)	Fungi
Lachancea_kluyveri	7	0	7	87	8.0	L. kluyveri (budding yeast)	Fungi
Lachancea_lanzarotensis	5	0	5	88	5.7	Grape yeast	Fungi
Lachancea_thermotolerans	6	0	6	90	6.7	Grape yeast	Fungi
Pseudozyma_flocculosa	0	0	0	73	0.0	Powdery mildew antagonist 	Fungi
Pseudozyma_brasiliensis	3	0	3	107	2.8	Yeast	Fungi
Pseudozyma_aphidis	1	0	1	88	1.1	Environmental Basidiomycete yeast - occasionally infects humans	Fungi
Pseudozyma_antarctica	1	0	1	87	1.1	Potentially useful for production of functional glycolipids	Fungi
Plicaturopsis_crispa	1	0	1	21	4.8	Fungus	Fungi
Magnaporthe_oryzae	8	0	8	136	5.9	Magnaporthe grisea, rice blast fungus, many others	Fungi
Pichia_kudriavzevii	1	0	1	95	1.1	Yeast	Fungi
Metarhizium_acridum	7	0	7	105	6.7	Fungus - pathogenic to locusts	Fungi
Metarhizium_album	7	0	7	105	6.7	Fungus - pathogenic to leafhoppers	Fungi
Metarhizium_brunneum	7	0	7	110	6.4	Mitosporic fungus 	Fungi
Metarhizium_guizhouense	7	0	7	121	5.8	Fungus	Fungi
Metarhizium_majus	7	0	7	113	6.2	Fungus - virulent against beetles	Fungi
Metarhizium_robertsii	7	0	7	118	5.9	Fungus - infects cockroaches	Fungi
Meyerozyma_guilliermondii	1	0	1	79	1.3	Fungus	Fungi
Microbotryum_violaceum	2	0	2	121	1.7	Anther smut fungus	Fungi
Pichia_pastoris	2	0	2	85	2.4	Yeast	Fungi
Pichia_stipitis	0	0	0	84	0.0	Yeast related to cerevisiae	Fungi
Magnaporthe_poae	4	0	4	96	4.2	Fungus - cause of summer patch (turfgrass disease)	Fungi
Malassezia_globosa	1	0	1	88	1.1	Yeast (human symbiont)	Fungi
Malassezia_sympodialis	1	0	1	72	1.4	Fungal pathogen - cause of atopic eczema and granulomatous dermatitis	Fungi
Pleurotus_ostreatus	5	0	5	164	3.0	Oyster mushroom	Fungi
Pisolithus_tinctorius	6	0	6	243	2.5	Fungus - symbiotic with trees	Fungi
Marssonina_brunnea	5	0	5	114	4.4	Fungal pathogen - cause of Marssonina leaf spot 	Fungi
Pisolithus_microcarpus	6	0	6	198	3.0	Fungus - symbiotic with trees	Fungi
Piriformospora_indica	3	0	3	131	2.3	Endophytic root-colonizing fungus	Fungi
Piloderma_croceum	6	0	6	170	3.5	Fungus	Fungi
Microsporidia_sp	2	0	2	69	2.9	Spore-forming unicellular parasites	Fungi
Aspergillus_ruber	5	0	5	119	4.2	Mold	Fungi
Bipolaris_oryzae	4	0	4	111	3.6	Cause of rice brown spot disease	Fungi
Bipolaris_sorokiniana	4	0	4	120	3.3	Cause of several cereal diseases	Fungi
Bipolaris_victoriae	4	0	4	112	3.6	Fungal plant pathogen - cause of victoria blight	Fungi
Bipolaris_zeicola	4	0	4	115	3.5	Bipolaris zeicola	Fungi
Blastomyces_dermatitidis	5	0	5	117	4.3	Causes blastomycosis	Fungi
Blumeria_graminis	5	0	5	102	4.9	Barley powdery mildew	Fungi
Botryobasidium_botryosum	5	0	5	159	3.1	Botryobasidium botryosum	Fungi
Botrytis_cinerea	5	0	5	120	4.2	Botrytis cinerea	Fungi
Zymoseptoria_tritici	4	0	4	101	4.0	Cause of septoria tritici blotch in wheat	Fungi
Bipolaris_maydis	4	0	4	109	3.7	Southern corn leaf blight	Fungi
Beauveria_bassiana	7	0	7	112	6.2	Fungus - cause of white muscardine disease	Fungi
Aspergillus_terreus	3	0	3	104	2.9	Aspergillus terreus	Fungi
Trichoderma_virens	7	0	7	109	6.4	Plant beneficial fungus	Fungi
Trichoderma_reesei	7	0	7	102	6.9	Hypocrea jecorina	Fungi
Aureobasidium_melanogenum	4	0	4	115	3.5	Black, yeast-like fungus	Fungi
Aureobasidium_pullulans	4	0	4	114	3.5	Black, yeast-like fungus	Fungi
Aureobasidium_subglaciale	4	0	4	114	3.5	Black, yeast-like fungus	Fungi
Trichoderma_atroviride	7	0	7	114	6.1	Cold tollerant, hyperparasite	Fungi
Batrachochytrium_dendrobatidis	6	1	5	124	4.8	Chytrid targetting amphibians	Fungi
Baudoinia_compniacensis	4	0	4	112	3.6	Whiskey fungus	Fungi
Tremella_mesenterica	2	0	2	218	0.9	Golden jelly fungus	Fungi
Trametes_cinnabarina	6	0	6	153	3.9	White-rot fungus	Fungi
