Species, Nrbpprot, NprotRRM, NprotKH, Nmeas, NmeasRRM, NmeasKH, Nrectot, Nrecjple, Nrecid, Nrecinter, NrectotRRM, NrecjpleRRM, NrecidRRM, NrecinterRRM, NrectotKH, NrecjpleKH, NrecidKH, NrecinterKH, Nrncmptjple, Nrncmptid, Nmotifjple, Nmotifid
Acanthocheilonema_viteae,207,113,22,0,0,0,42,41,3,2,36,35,3,2,6,6,0,0,31,3,27,3
Acremonium_chrysogenum,107,64,6,0,0,0,15,15,2,2,14,14,1,1,1,1,1,1,14,2,12,2
Acyrthosiphon_pisum,498,176,31,0,0,0,68,66,24,22,51,49,22,20,16,16,2,2,44,21,35,17
Aedes_aegypti,265,151,20,0,0,0,56,54,27,25,47,45,25,23,8,8,2,2,45,25,39,20
Aegilops_tauschii,431,225,25,0,0,0,81,81,1,1,72,72,1,1,9,9,0,0,37,1,28,1
Agaricus_bisporus,197,73,8,0,0,0,14,14,0,0,13,13,0,0,1,1,0,0,14,0,13,0
Ailuropoda_melanoleuca,383,206,31,0,0,0,139,139,97,97,115,115,78,78,21,21,16,16,76,69,54,48
Albugo_laibachii,206,85,6,0,0,0,13,13,0,0,13,13,0,0,0,0,0,0,11,0,11,0
Alligator_sinensis,338,192,31,0,0,0,120,120,57,57,97,97,49,49,22,22,8,8,74,39,53,31
Allomyces_macrogynus,268,157,16,0,0,0,13,11,2,0,13,11,2,0,0,0,0,0,5,1,5,1
Alternaria_brassicicola,109,64,8,0,0,0,9,9,2,2,7,7,1,1,2,2,1,1,8,2,8,2
Amanita_muscaria,177,81,7,0,0,0,14,14,0,0,13,13,0,0,1,1,0,0,12,0,11,0
Amborella_trichopoda,345,170,30,0,0,0,68,68,6,6,59,59,6,6,9,9,0,0,39,5,30,4
Amphimedon_queenslandica,616,148,12,0,0,0,37,35,2,0,35,33,2,0,2,2,0,0,27,1,23,1
Anas_platyrhynchos,294,163,25,0,0,0,107,107,65,65,86,86,51,51,18,18,12,12,68,48,51,35
Ancylostoma_caninum,289,147,31,0,0,0,53,52,6,5,43,42,4,3,10,10,2,2,35,5,28,4
Ancylostoma_ceylanicum,193,101,19,0,0,0,42,41,6,5,33,32,5,4,9,9,1,1,32,6,25,5
Ancylostoma_duodenale,261,127,27,0,0,0,48,47,6,5,37,36,3,2,11,11,3,3,31,4,27,4
Angiostrongylus_cantonensis,130,69,18,0,0,0,29,29,4,4,24,24,3,3,5,5,1,1,25,4,20,4
