Species, Nrbpprot, NprotRRM, NprotKH, Nmeas, NmeasRRM, NmeasKH, Nrectot, Nrecjple, Nrecid, Nrecinter, NrectotRRM, NrecjpleRRM, NrecidRRM, NrecinterRRM, NrectotKH, NrecjpleKH, NrecidKH, NrecinterKH, Nrncmptjple, Nrncmptid, Nmotifjple, Nmotifid
Acanthocheilonema_viteae,207,113,22,0,0,0,43,41,6,4,37,35,6,4,6,6,0,0,31,6,27,6
Acremonium_chrysogenum,107,64,6,0,0,0,15,15,4,4,14,14,3,3,1,1,1,1,14,4,12,4
Acyrthosiphon_pisum,498,176,31,0,0,0,68,66,25,23,51,49,23,21,16,16,2,2,44,22,35,18
Aedes_aegypti,265,151,20,0,0,0,56,54,29,27,47,45,27,25,8,8,2,2,45,27,39,22
Aegilops_tauschii,431,225,25,0,0,0,81,81,8,8,72,72,7,7,9,9,1,1,37,8,28,7
Agaricus_bisporus,197,73,8,0,0,0,14,14,1,1,13,13,1,1,1,1,0,0,14,1,13,1
Ailuropoda_melanoleuca,383,206,31,0,0,0,139,139,110,110,115,115,90,90,21,21,17,17,76,81,54,56
Albugo_laibachii,206,85,6,0,0,0,13,13,0,0,13,13,0,0,0,0,0,0,11,0,11,0
Alligator_sinensis,338,192,31,0,0,0,120,120,66,66,97,97,55,55,22,22,11,11,74,49,53,37
Allomyces_macrogynus,268,157,16,0,0,0,13,11,2,0,13,11,2,0,0,0,0,0,5,1,5,1
Alternaria_brassicicola,109,64,8,0,0,0,9,9,2,2,7,7,1,1,2,2,1,1,8,2,8,2
Amanita_muscaria,177,81,7,0,0,0,14,14,2,2,13,13,2,2,1,1,0,0,12,2,11,2
Amborella_trichopoda,345,170,30,0,0,0,68,68,26,26,59,59,22,22,9,9,4,4,39,19,30,15
Amphimedon_queenslandica,616,148,12,0,0,0,37,35,2,0,35,33,2,0,2,2,0,0,27,1,23,1
Anas_platyrhynchos,294,163,25,0,0,0,107,107,76,76,86,86,61,61,18,18,13,13,68,59,51,41
Ancylostoma_caninum,289,147,31,0,0,0,53,52,10,9,43,42,7,6,10,10,3,3,35,8,28,7
Ancylostoma_ceylanicum,193,101,19,0,0,0,42,41,7,6,33,32,6,5,9,9,1,1,32,7,25,6
Ancylostoma_duodenale,261,127,27,0,0,0,48,47,10,9,37,36,7,6,11,11,3,3,31,7,27,6
Angiostrongylus_cantonensis,130,69,18,0,0,0,29,29,6,6,24,24,5,5,5,5,1,1,25,6,20,6
Angiostrongylus_costaricensis,135,86,16,0,0,0,38,38,8,8,34,34,6,6,4,4,2,2,27,7,22,7
Anisakis_simplex,208,126,22,0,0,0,29,29,3,3,24,24,3,3,5,5,0,0,27,3,24,3
Anncaliia_algerae,59,29,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
Anolis_carolinensis,418,184,30,0,0,0,114,114,88,88,91,91,71,71,20,20,14,14,70,71,51,50
Anopheles_albimanus,203,119,17,0,0,0,50,48,21,19,42,40,19,17,7,7,2,2,45,21,41,18
Anopheles_arabiensis,219,120,18,0,0,0,50,48,20,18,43,41,19,17,6,6,1,1,43,18,40,16
Anopheles_atroparvus,204,121,17,0,0,0,49,47,23,21,41,39,21,19,7,7,2,2,40,22,37,20
Anopheles_christyi,183,101,18,0,0,0,43,41,19,17,35,33,17,15,7,7,2,2,40,18,34,16
Anopheles_coluzzii,191,114,15,0,0,0,47,45,17,15,41,39,15,13,5,5,2,2,40,16,36,14
Anopheles_culicifacies,212,119,19,0,0,0,53,51,24,22,44,42,22,20,8,8,2,2,44,22,38,19
Anopheles_darlingi,193,109,19,0,0,0,50,48,25,23,42,40,22,20,7,7,3,3,45,24,39,20
Anopheles_dirus,212,121,18,0,0,0,49,47,22,20,42,40,20,18,6,6,2,2,42,21,38,18
Anopheles_epiroticus,214,119,17,0,0,0,51,48,24,21,44,41,23,20,6,6,1,1,43,23,39,20
Anopheles_farauti,209,119,19,0,0,0,52,50,22,20,45,43,21,19,6,6,1,1,41,21,37,19
Anopheles_funestus,223,122,21,0,0,0,56,54,25,23,46,44,24,22,9,9,1,1,46,23,41,20
Anopheles_gambiae,221,130,20,0,0,0,51,49,27,25,44,42,24,22,7,7,3,3,45,27,41,22
Anopheles_maculatus,178,98,17,0,0,0,38,37,14,13,29,28,12,11,8,8,2,2,33,13,30,12
Anopheles_melas,223,124,21,0,0,0,51,49,21,19,43,41,19,17,7,7,2,2,39,19,36,17
Anopheles_merus,191,110,18,0,0,0,41,39,19,17,35,33,18,16,6,6,1,1,35,18,32,16
Anopheles_minimus,216,118,20,0,0,0,54,52,26,24,45,43,24,22,8,8,2,2,46,24,41,21
Anopheles_quadriannulatus,218,120,19,0,0,0,52,50,22,20,44,42,20,18,7,7,2,2,44,22,40,20
Anopheles_sinensis,178,105,10,0,0,0,37,36,19,18,32,31,18,17,4,4,1,1,34,19,31,17
Anopheles_stephensi,222,120,18,0,0,0,51,49,23,21,43,41,22,20,7,7,1,1,44,21,39,19
Apis_mellifera,218,121,20,0,0,0,55,53,28,26,47,45,26,24,7,7,2,2,48,26,42,24
Aptenodytes_forsteri,293,158,25,0,0,0,106,106,78,78,85,85,63,63,18,18,13,13,70,60,51,44
Aquilegia_coerulea,405,197,26,0,0,0,85,85,32,32,74,74,28,28,11,11,4,4,44,24,32,18
Arabidopsis_lyrata,543,288,28,0,0,0,111,111,40,40,101,101,36,36,10,10,4,4,48,24,35,19
Arabidopsis_thaliana,469,248,28,5,5,0,101,101,41,41,91,91,37,37,10,10,4,4,47,25,34,20
Arthrobotrys_oligospora,119,70,9,0,0,0,13,13,4,4,12,12,3,3,1,1,1,1,13,4,12,4
Arthroderma_benhamiae,97,63,7,0,0,0,12,12,3,3,11,11,2,2,1,1,1,1,12,3,11,3
Arthroderma_otae,104,65,7,0,0,0,13,13,3,3,12,12,2,2,1,1,1,1,13,3,12,3
Ascaris_lumbricoides,150,88,20,0,0,0,39,39,4,4,34,34,4,4,5,5,0,0,26,3,21,3
Ascaris_suum,234,131,25,0,0,0,48,47,7,6,42,41,7,6,6,6,0,0,32,6,30,6
Ashbya_gossypii,89,52,6,0,0,0,8,8,1,1,8,8,1,1,0,0,0,0,8,1,8,1
Aspergillus_carbonarius,105,69,7,0,0,0,14,14,3,3,13,13,2,2,1,1,1,1,13,3,13,3
Aspergillus_clavatus,114,69,5,0,0,0,12,12,3,3,11,11,2,2,1,1,1,1,12,3,12,3
Aspergillus_flavus,108,64,6,0,0,0,11,11,2,2,10,10,1,1,1,1,1,1,11,2,11,2
Aspergillus_fumigatus,104,66,5,0,0,0,12,12,4,4,11,11,3,3,1,1,1,1,12,4,12,4
Aspergillus_nidulans,111,68,7,2,1,1,15,15,4,4,14,14,3,3,1,1,1,1,15,4,14,4
Aspergillus_niger,112,66,6,0,0,0,14,14,2,2,13,13,1,1,1,1,1,1,14,2,13,2
Aspergillus_oryzae,115,69,6,0,0,0,15,15,2,2,14,14,1,1,1,1,1,1,14,2,13,2
Aspergillus_ruber,119,71,7,0,0,0,12,12,4,4,11,11,3,3,1,1,1,1,12,4,12,4
Aspergillus_terreus,104,61,6,0,0,0,14,14,2,2,13,13,1,1,1,1,1,1,13,2,12,2
Astyanax_mexicanus,439,241,41,0,0,0,161,161,108,108,133,133,89,89,27,27,19,19,73,72,52,48
Atta_cephalotes,231,130,19,0,0,0,56,56,16,16,47,47,15,15,8,8,1,1,50,16,40,15
Aureobasidium_melanogenum,115,68,9,0,0,0,12,12,2,2,11,11,1,1,1,1,1,1,12,2,12,2
