RNCMPT00137 0.7852760736196319 0.79 0.8
RNCMPT00065 0.9263803680981595 0.91 0.9
RNCMPT00265 0.6134969325153374 0.53 0.3
RNCMPT00727 0.8834355828220859 0.87 0.9
RNCMPT00246 0.8282208588957055 0.86 0.8
RNCMPT00016 0.7177914110429447 0.7 0.5
RNCMPT00185 0.8282208588957055 0.77 0.5
RNCMPT00047 0.4171779141104294 0.36 0.7
RNCMPT00161 0.6012269938650306 0.55 0.4
RNCMPT00169 0.7484662576687117 0.75 0.7
RNCMPT00020 0.7423312883435583 0.76 0.6
RNCMPT00002 0.9693251533742331 1.0 0.9
RNCMPT00034 0.7300613496932515 0.68 0.6
RNCMPT00822 0.8220858895705522 0.77 0.6
RNCMPT00026 0.6993865030674846 0.6 0.3
RNCMPT00186 0.7914110429447853 0.79 0.6
RNCMPT00743 0.7730061349693251 0.72 0.8
RNCMPT00044 0.4049079754601227 0.36 0.4
RNCMPT00215 0.803680981595092 0.81 0.6
RNCMPT00062 0.7361963190184049 0.75 0.8
RNCMPT00239 0.8466257668711656 0.86 0.7
RNCMPT01679 0.7914110429447853 0.75 0.7
RNCMPT01673 0.8098159509202454 0.81 0.7
RNCMPT00637 0.8098159509202454 0.74 0.7
RNCMPT00142 0.803680981595092 0.68 0.4
RNCMPT00015 0.656441717791411 0.57 0.4
RNCMPT00011 0.901840490797546 0.86 0.8
RNCMPT00007 0.9447852760736196 0.92 0.8
RNCMPT00129 0.6932515337423313 0.69 0.5
RNCMPT00118 0.9141104294478528 0.92 0.9
RNCMPT00692 0.7852760736196319 0.66 0.7
RNCMPT00718 0.803680981595092 0.79 0.8
RNCMPT00505 0.8220858895705522 0.75 0.7
RNCMPT00500 0.7852760736196319 0.75 0.4
RNCMPT00423 0.803680981595092 0.81 0.7
RNCMPT00347 0.7484662576687117 0.77 0.8
RNCMPT00469 0.4233128834355828 0.41 0.4
RNCMPT00324 0.901840490797546 0.87 0.9
RNCMPT00467 0.8650306748466258 0.82 0.7
RNCMPT00478 0.7852760736196319 0.71 0.3
RNCMPT00460 0.7361963190184049 0.72 0.7
RNCMPT00360 0.8282208588957055 0.75 0.6
RNCMPT00791 0.6871165644171779 0.75 0.5
RNCMPT00465 0.8159509202453987 0.77 0.7
RNCMPT00474 0.7791411042944786 0.77 0.6
RNCMPT00694 0.8834355828220859 0.9 1.0
RNCMPT00172 0.8159509202453987 0.81 0.9
RNCMPT00787 0.7300613496932515 0.66 0.4
RNCMPT00270 0.754601226993865 0.77 0.5
RNCMPT00006 0.9570552147239264 0.94 0.8
RNCMPT00018 0.8834355828220859 0.86 0.8
RNCMPT00229 0.6871165644171779 0.67 0.2
RNCMPT00040 0.9631901840490797 0.95 1.0
RNCMPT00182 0.7852760736196319 0.8 0.6
RNCMPT00252 0.901840490797546 0.85 0.9
RNCMPT00230 0.8159509202453987 0.78 0.8
RNCMPT00218 0.8098159509202454 0.72 0.7
RNCMPT00164 0.7975460122699386 0.76 0.6
RNCMPT00205 0.6809815950920245 0.59 0.2
RNCMPT00284 0.803680981595092 0.72 0.7
RNCMPT01660 0.8282208588957055 0.9 0.9
RNCMPT00475 0.8588957055214724 0.81 0.7
RNCMPT00329 0.7852760736196319 0.8 0.6
RNCMPT00382 0.7668711656441718 0.77 0.7
RNCMPT00739 0.7791411042944786 0.8 0.7
RNCMPT00287 0.7730061349693251 0.68 0.5
RNCMPT00433 0.8834355828220859 0.89 0.9
RNCMPT00341 0.7975460122699386 0.86 0.5
RNCMPT00422 0.8098159509202454 0.76 0.7
RNCMPT00323 0.5337423312883436 0.64 0.9
RNCMPT00331 0.8588957055214724 0.86 0.5
RNCMPT00344 0.8711656441717791 0.82 0.7
RNCMPT00399 0.8159509202453987 0.81 0.3
RNCMPT00351 0.9079754601226994 0.91 0.8
RNCMPT00507 0.8650306748466258 0.84 0.5
RNCMPT00508 0.9325153374233128 0.9 0.9
RNCMPT00683 0.8895705521472392 0.82 0.8
RNCMPT00418 0.901840490797546 0.87 0.9
RNCMPT00224 0.6993865030674846 0.76 0.9
RNCMPT00248 0.8282208588957055 0.78 0.6
RNCMPT00340 0.8834355828220859 0.91 0.7
RNCMPT01667 0.7914110429447853 0.77 0.7
RNCMPT01664 0.8343558282208589 0.84 0.9
RNCMPT00283 0.9570552147239264 0.9 0.7
RNCMPT00677 0.9141104294478528 0.9 0.7
RNCMPT00170 0.8650306748466258 0.84 0.7
RNCMPT00268 0.7730061349693251 0.73 0.9
RNCMPT00037 0.6687116564417178 0.61 0.3
